Monmouthshire,2020-10-21,18,667,705.1,273,15496
Gwynedd,2020-09-05,2,636,510.6,78,15247
Flintshire,2020-09-14,2,851,545.2,330,20259
Isle of Anglesey,2020-06-16,12,343,489.70000000000005,128,3414
Cardiff,2020-10-25,142,6997,1907.0,547,81961
Blaenau Gwent,2020-09-19,23,478,684.2,152,10839
Isle of Anglesey,2020-03-08,0,0,0.0,0,16
Flintshire,2020-09-13,6,849,543.9,158,19929
Gwynedd,2020-09-04,2,634,509.0,163,15169
Pembrokeshire,2020-07-22,2,298,236.9,101,7712
Cardiff,2020-10-24,149,6855,1868.3000000000002,675,81414
Flintshire,2020-05-22,14,498,319.0,221,2866
Neath Port Talbot,2020-09-09,3,726,506.6,447,17275
Blaenau Gwent,2020-06-21,1,353,505.3,12,3085
Merthyr Tydfil,2020-06-27,107,557,923.3000000000001,740,4096
Cardiff,2020-07-12,1,2294,625.2,141,21384
Conwy,2020-11-14,8,1657,1413.8000000000002,134,32355
Neath Port Talbot,2020-09-08,0,723,504.5,335,16828
Merthyr Tydfil,2020-06-26,2,450,745.9000000000001,49,3356
Flintshire,2020-05-21,8,484,310.1,141,2645
Gwynedd,2020-06-07,1,476,382.1,72,4766
Merthyr Tydfil,2020-10-25,38,1670,2768.3,115,17930
Blaenau Gwent,2020-06-20,0,352,503.90000000000003,32,3073
Gwynedd,2020-09-03,2,632,507.40000000000003,212,15006
Pembrokeshire,2020-07-21,2,296,235.3,197,7611
Isle of Anglesey,2020-03-07,0,0,0.0,0,16
Conwy,2020-11-13,3,1649,1407.0,199,32221
Cardiff,2020-07-11,0,2293,625.0,219,21243
Merthyr Tydfil,2020-06-25,1,448,742.6,41,3307
Blaenau Gwent,2020-06-19,0,352,503.90000000000003,41,3041
Merthyr Tydfil,2020-10-24,47,1632,2705.3,149,17815
Gwynedd,2020-09-02,0,630,505.8,158,14794
Neath Port Talbot,2020-09-07,6,723,504.5,365,16493
Gwynedd,2020-06-06,4,475,381.3,84,4694
Conwy,2020-11-12,9,1646,1404.4,204,32022
Isle of Anglesey,2020-03-06,0,0,0.0,0,16
Gwynedd,2020-03-07,0,0,0.0,0,20
Cardiff,2020-07-10,2,2293,625.0,300,21024
Merthyr Tydfil,2020-10-23,46,1585,2627.4,210,17666
Blaenau Gwent,2020-06-18,1,352,503.90000000000003,90,3000
Gwynedd,2020-09-01,0,630,505.8,209,14636
Neath Port Talbot,2020-09-06,1,717,500.3,174,16128
Gwynedd,2020-06-05,7,471,378.1,208,4610
Conwy,2020-11-11,9,1637,1396.7,213,31818
Isle of Anglesey,2020-03-05,0,0,0.0,0,16
Merthyr Tydfil,2020-06-24,0,447,741.0,56,3266
Merthyr Tydfil,2020-10-22,39,1539,2551.1000000000004,192,17456
Cardiff,2020-07-09,0,2291,624.4000000000001,402,20724
Gwynedd,2020-08-31,4,630,505.8,128,14427
Neath Port Talbot,2020-09-05,4,716,499.6,174,15954
Blaenau Gwent,2020-06-17,1,351,502.40000000000003,92,2910
Gwynedd,2020-06-04,2,464,372.5,133,4402
Conwy,2020-11-10,13,1628,1389.0,242,31605
Merthyr Tydfil,2020-06-23,0,447,741.0,43,3210
Merthyr Tydfil,2020-10-21,48,1500,2486.5,208,17264
Neath Port Talbot,2020-09-04,9,712,496.8,246,15780
Blaenau Gwent,2020-06-16,0,350,501.0,77,2818
Cardiff,2020-07-08,0,2291,624.4000000000001,376,20322
Gwynedd,2020-06-03,5,462,370.90000000000003,240,4269
Merthyr Tydfil,2020-10-20,51,1452,2406.9,227,17056
Neath Port Talbot,2020-09-03,8,703,490.5,294,15534
Blaenau Gwent,2020-06-15,2,350,501.0,134,2741
Cardiff,2020-07-07,2,2291,624.4000000000001,334,19946
Gwynedd,2020-06-02,3,457,366.90000000000003,147,4029
